"","year","month","day","water_level","stationname","lat","lon"
"1",2010,1,1,1.18209166666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"2",2010,1,2,0.993516666666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"3",2010,1,3,1.0736125,"Naples, Gulf of Mexico","26.1317","-81.8075"
"4",2010,1,4,1.14055,"Naples, Gulf of Mexico","26.1317","-81.8075"
"5",2010,1,5,1.06995,"Naples, Gulf of Mexico","26.1317","-81.8075"
"6",2010,1,6,1.050175,"Naples, Gulf of Mexico","26.1317","-81.8075"
"7",2010,1,7,1.11750416666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"8",2010,1,8,1.194875,"Naples, Gulf of Mexico","26.1317","-81.8075"
"9",2010,1,9,0.970645833333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"10",2010,1,10,0.836483333333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"11",2010,1,11,0.925204166666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"12",2010,1,12,1.01522083333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"13",2010,1,13,0.997175,"Naples, Gulf of Mexico","26.1317","-81.8075"
"14",2010,1,14,1.02067916666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"15",2010,1,15,1.10646666666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"16",2010,1,16,1.18149583333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"17",2010,1,17,1.21135,"Naples, Gulf of Mexico","26.1317","-81.8075"
"18",2010,1,18,1.07216666666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"19",2010,1,19,1.058725,"Naples, Gulf of Mexico","26.1317","-81.8075"
"20",2010,1,20,1.11050416666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"21",2010,1,21,1.2396625,"Naples, Gulf of Mexico","26.1317","-81.8075"
"22",2010,1,22,1.2135375,"Naples, Gulf of Mexico","26.1317","-81.8075"
"23",2010,1,23,1.22607083333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"24",2010,1,24,1.2825375,"Naples, Gulf of Mexico","26.1317","-81.8075"
"25",2010,1,25,1.23007916666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"26",2010,1,26,1.0605875,"Naples, Gulf of Mexico","26.1317","-81.8075"
"27",2010,1,27,1.0393375,"Naples, Gulf of Mexico","26.1317","-81.8075"
"28",2010,1,28,1.0547875,"Naples, Gulf of Mexico","26.1317","-81.8075"
"29",2010,1,29,1.17298333333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"30",2010,1,30,1.20044166666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"31",2010,1,31,1.0785,"Naples, Gulf of Mexico","26.1317","-81.8075"
"32",2010,2,1,1.12940416666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"33",2010,2,2,1.205225,"Naples, Gulf of Mexico","26.1317","-81.8075"
"34",2010,2,3,1.103175,"Naples, Gulf of Mexico","26.1317","-81.8075"
"35",2010,2,4,1.11657083333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"36",2010,2,5,1.28244166666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"37",2010,2,6,1.19195416666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"38",2010,2,7,1.04805416666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"39",2010,2,8,1.09812916666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"40",2010,2,9,1.20704583333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"41",2010,2,10,1.03343333333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"42",2010,2,11,1.01519583333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"43",2010,2,12,1.33552916666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"44",2010,2,13,1.022775,"Naples, Gulf of Mexico","26.1317","-81.8075"
"45",2010,2,14,1.06578333333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"46",2010,2,15,1.18344166666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"47",2010,2,16,1.10316666666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"48",2010,2,17,1.11447083333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"49",2010,2,18,1.06874583333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"50",2010,2,19,1.07950833333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"51",2010,2,20,1.08565833333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"52",2010,2,21,1.13192916666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"53",2010,2,22,1.27616666666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"54",2010,2,23,1.29774166666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"55",2010,2,24,1.28635,"Naples, Gulf of Mexico","26.1317","-81.8075"
"56",2010,2,25,1.03289583333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"57",2010,2,26,1.10147083333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"58",2010,2,27,1.19599166666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"59",2010,2,28,1.07320833333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"60",2010,3,1,1.126225,"Naples, Gulf of Mexico","26.1317","-81.8075"
"61",2010,3,2,1.28962916666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"62",2010,3,3,1.04010416666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"63",2010,3,4,1.031975,"Naples, Gulf of Mexico","26.1317","-81.8075"
"64",2010,3,5,1.01582916666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"65",2010,3,6,0.9724,"Naples, Gulf of Mexico","26.1317","-81.8075"
"66",2010,3,7,1.00065,"Naples, Gulf of Mexico","26.1317","-81.8075"
"67",2010,3,8,1.1025,"Naples, Gulf of Mexico","26.1317","-81.8075"
"68",2010,3,9,1.15329583333333,"Naples, Gulf of Mexico","26.1317","-81.8075"
"69",2010,3,10,1.18134166666667,"Naples, Gulf of Mexico","26.1317","-81.8075"
"70",2010,3,11,1.2666125,"Naples, Gulf of Mexico","26.1317","-81.8075"
